date,stockid,volume,open,high,low,close
1994/9/5,2330,380000,96,96,96,96
1994/9/6,2330,100000,102.5,102.5,102.5,102.5
1994/9/7,2330,100000,109.5,109.5,109.5,109.5
1994/9/8,2330,230000,117,117,117,117
1994/9/9,2330,120000,125,125,125,125
1994/9/10,2330,4940000,133.5,133.5,133.5,133.5
1994/9/12,2330,549330000,142.5,142.5,142.5,142.5
1994/9/13,2330,1906240000,152,152,152,152
1994/9/14,2330,1668520000,162,162,162,162
1994/9/15,2330,2147483647,173,173,165,173
1994/9/16,2330,1930170000,173,177,168,171
1994/9/17,2330,1403670000,171,175,169,171
1994/9/21,2330,1196450000,171,174,168,173
1994/9/22,2330,577320000,172,172,169,169
1994/9/23,2330,1904070000,169,176,168,175
1994/9/24,2330,1022060000,175,175,171,171
1994/9/26,2330,742890000,171,173,169,170
1994/9/27,2330,630770000,171,173,170,171
1994/9/29,2330,452800000,172,172,170,172
1994/9/30,2330,370760000,172,174,171,171
1994/10/1,2330,284850000,171,172,171,172
1994/10/3,2330,268080000,172,173,171,172
1994/10/4,2330,705750000,172,174,171,174
1994/10/5,2330,1614330000,174,177,172,177
1994/10/6,2330,1671790000,175,176,167,167
1994/10/7,2330,1181620000,167,170,167,169
1994/10/8,2330,1454290000,170,171,158,158
1994/10/11,2330,1467270000,158,160,154,160
1994/10/12,2330,1137510000,164,170,163,168
1994/10/13,2330,804920000,168,170,164,168
1994/10/14,2330,572980000,168,170,166,168
1994/10/15,2330,763510000,169,171,169,169
1994/10/17,2330,507110000,170,171,169,169
1994/10/18,2330,270810000,170,171,168,168
1994/10/19,2330,448300000,168,169,164,165
1994/10/20,2330,213570000,165,167,165,166
1994/10/21,2330,387640000,166,168,164,164
1994/10/22,2330,214900000,164,164,161,162
1994/10/24,2330,224790000,161,162,160,160
1994/10/26,2330,262800000,160,160,158,159
1994/10/27,2330,229170000,158,159,156,156
1994/10/28,2330,311460000,156,159,156,159
1994/10/29,2330,424050000,161,163,160,162
1994/11/1,2330,427430000,163,163,157,158
1994/11/2,2330,334230000,158,160,156,159
1994/11/3,2330,138320000,159,160,158,158
1994/11/4,2330,232100000,158,161,157,160
1994/11/5,2330,101920000,160,161,159,159
1994/11/7,2330,99770000,159,159,157,158
1994/11/8,2330,62950000,158,159,157,158
1994/11/9,2330,219510000,159,161,159,161
1994/11/10,2330,200430000,162,163,161,162
1994/11/11,2330,203770000,162,163,161,162
1994/11/14,2330,132270000,163,163,159,162
1994/11/15,2330,147560000,160,162,159,162
1994/11/16,2330,96340000,161,162,160,161
1994/11/17,2330,91360000,162,162,160,160
1994/11/18,2330,70350000,160,161,160,160
1994/11/19,2330,67080000,160,162,160,162
1994/11/21,2330,67180000,162,162,160,161
1994/11/22,2330,128930000,161,161,160,160
1994/11/23,2330,176840000,159,160,158,159
1994/11/24,2330,105200000,160,161,159,159
1994/11/25,2330,295410000,160,162,160,161
1994/11/26,2330,62010000,161,162,160,160
1994/11/28,2330,82830000,160,160,159,159
1994/11/29,2330,106690000,159,160,159,160
1994/11/30,2330,296810000,160,160,157,159
1994/12/1,2330,231570000,159,160,158,160
1994/12/2,2330,341040000,160,160,158,159
1994/12/5,2330,810880000,163,168,162,166
1994/12/6,2330,312070000,166,166,163,164
1994/12/7,2330,212890000,164,165,163,164
1994/12/8,2330,161880000,164,164,162,162
1994/12/9,2330,198100000,162,163,159,161
1994/12/10,2330,192390000,162,162,159,159
1994/12/12,2330,89010000,159,159,157,159
1994/12/13,2330,94080000,158,159,157,157
1994/12/14,2330,174060000,157,158,156,156
1994/12/15,2330,172410000,156,157,155,156
1994/12/16,2330,364150000,158,159,155,155
1994/12/17,2330,205300000,155,156,154,156
1994/12/19,2330,265490000,156,158,155,158
1994/12/20,2330,184230000,158,159,157,157
1994/12/21,2330,176320000,157,158,155,156
1994/12/22,2330,346240000,156,159,155,157
1994/12/23,2330,224350000,157,158,154,155
1994/12/24,2330,280850000,155,156,154,155
1994/12/27,2330,218680000,155,156,154,155
1994/12/28,2330,258800000,155,158,155,156
1994/12/29,2330,160610000,156,157,156,156
1994/12/30,2330,356730000,157,158,156,156
1994/12/31,2330,259180000,157,158,156,157
1995/1/5,2330,241970000,157,158,155,155
1995/1/6,2330,133770000,156,156,154,154
1995/1/7,2330,123180000,154,155,153,154
1995/1/9,2330,258610000,154,154,151,151
1995/1/10,2330,301040000,151,151,148,150
1995/1/11,2330,79590000,149,150,149,149.5
1995/1/12,2330,243650000,150,150,148,148
1995/1/13,2330,173050000,148,149,146,146
1995/1/14,2330,404870000,146,146,139,140
1995/1/16,2330,234850000,140,141,136,137.5
1995/1/17,2330,232110000,137.5,138,137,137
1995/1/18,2330,277910000,138,139,138,138.5
1995/1/19,2330,541130000,140,148,139,145
1995/1/20,2330,325480000,145,145,140,141.5
1995/1/21,2330,297470000,141,146.5,140,146.5
1995/1/23,2330,263860000,146,146.5,140,140
1995/1/24,2330,313840000,138.5,140,138,139
1995/1/25,2330,158630000,139,143,139,143
1995/1/26,2330,133230000,143,143,140,141
1995/2/4,2330,98600000,145,145,143,143
1995/2/6,2330,195310000,143,148,142,148
1995/2/7,2330,241090000,148,150,147,147.5
1995/2/8,2330,92210000,148,148.5,146,146.5
1995/2/9,2330,83750000,147,148.5,147,147
1995/2/10,2330,122610000,147,149,147,148.5
1995/2/11,2330,175620000,149.5,150,149,150
1995/2/13,2330,123240000,150,152,149,149
1995/2/14,2330,87140000,149,149.5,148,148.5
1995/2/15,2330,304360000,149,154,149,152
1995/2/16,2330,415940000,153,158,153,156
1995/2/17,2330,339730000,156,158,155,158
1995/2/18,2330,155390000,158,159,156,156
1995/2/20,2330,141860000,156,157,153,153
1995/2/21,2330,87570000,153,156,153,156
1995/2/22,2330,257020000,156,158,154,158
1995/2/23,2330,86140000,158,158,156,157
1995/2/24,2330,564550000,157,162,157,160
1995/2/25,2330,115040000,160,161,160,161
1995/2/27,2330,587280000,156,157,150,156
1995/2/28,2330,229520000,155,155,153,155
1995/3/1,2330,367820000,153,153,148,148
1995/3/2,2330,101710000,148,151,148,151
1995/3/3,2330,75450000,151,153,150,153
1995/3/4,2330,106110000,154,155,153,155
1995/3/6,2330,112250000,155,156,154,156
1995/3/7,2330,348800000,156,159,154,159
1995/3/8,2330,286480000,158,160,156,157
1995/3/9,2330,463060000,160,161,159,159
1995/3/10,2330,220880000,160,161,159,160
1995/3/11,2330,180670000,161,161,159,160
1995/3/13,2330,563170000,161,163,161,163
1995/3/14,2330,215230000,163,163,160,161
1995/3/15,2330,648110000,162,165,162,164
1995/3/16,2330,220710000,165,165,163,164
1995/3/17,2330,417810000,165,167,165,166
1995/3/18,2330,164010000,166,166,164,164
1995/3/20,2330,326010000,166,166,164,166
1995/3/21,2330,274680000,166,167,165,165
1995/3/22,2330,456170000,164,165,160,165
1995/3/23,2330,160570000,164,166,164,166
1995/3/24,2330,284080000,166,167,165,166
1995/3/25,2330,940890000,167,172,167,170
1995/3/27,2330,789580000,170,173,168,173
1995/3/28,2330,613770000,175,175,172,175
1995/3/30,2330,1725320000,176,185,175,185
1995/3/31,2330,1224090000,185,189,181,188
1995/4/1,2330,1108900000,189,190,183,186
1995/4/6,2330,1632030000,187,192,187,190
1995/4/7,2330,821280000,191,192,184,186
1995/4/8,2330,624810000,184,186,181,185
1995/4/10,2330,469900000,185,187,183,186
1995/4/11,2330,1071910000,186,190,186,187
1995/4/12,2330,673020000,188,190,187,188
1995/4/13,2330,650310000,189,189,184,185
1995/4/14,2330,955700000,184,184,179,180
1995/4/15,2330,984450000,180,180,175,175
1995/4/17,2330,521750000,175,176,173,176
1995/4/18,2330,541820000,176,178,170,172
1995/4/19,2330,384340000,172,174,169,173
1995/4/20,2330,226570000,172,174,172,172
1995/4/21,2330,645260000,173,174,168,171
1995/4/22,2330,290820000,172,173,169,173
1995/4/24,2330,563220000,173,177,172,176
1995/4/25,2330,398880000,176,177,173,174
1995/4/26,2330,633830000,175,175,168,173
1995/4/27,2330,434970000,172,174,170,173
1995/4/28,2330,346990000,173,174,170,174
1995/4/29,2330,322440000,175,177,174,174
1995/5/1,2330,168320000,174,175,172,174
1995/5/2,2330,179760000,172,174,170,173
1995/5/3,2330,140170000,173,174,173,173
1995/5/4,2330,188740000,174,174,171,172
1995/5/5,2330,727390000,170,171,164,164
1995/5/6,2330,356970000,161,169,161,167
1995/5/8,2330,282080000,167,170,165,169
1995/5/9,2330,611060000,168,174,166,174
1995/5/10,2330,496310000,175,177,172,174
1995/5/11,2330,310690000,175,177,174,176
1995/5/12,2330,266680000,175,177,174,176
1995/5/13,2330,1060790000,177,185,177,184
1995/5/15,2330,598160000,183,186,183,183
1995/5/16,2330,514030000,184,184,180,183
1995/5/17,2330,500440000,184,186,182,182
1995/5/18,2330,334900000,183,183,180,183
1995/5/19,2330,375880000,183,185,181,182
1995/5/20,2330,425680000,185,186,183,183
